Name,Mask,DisplayName,Description,Chapter,RegionId,HowToEarn,GrantFlag
Sapling,Sapling,Sapling Mask,The face of a boy turned to wood. Launches from flower pads and skips over still water.,1,bellwether.town,"Played the Hymn of Mending on the first morning, lifting the curse and leaving the face behind.",perm.mask.sapling
Boulderkin,Boulderkin,Boulderkin Mask,"Heavy as the mountain that mourned him. Rolls, pounds, and walks through heat unharmed.",5,frostcrown.pass,Played the Hymn of Mending for the mountain elder's ghost on the road to the pass.,perm.mask.boulderkin
Tideborn,Tideborn,Tideborn Mask,A drowned musician's last performance. Swims the deep bay and throws finned blades.,8,tidebreak.coast,Played the Hymn of Mending for the guitarist washed up on the shore of the bay.,perm.mask.tideborn
Wrath,Wrath,Wrath Mask,"Given by the children on the moon, if every other mask is offered first. Only a boss's arena will hold it.",13,moon.field,"Given by the last child in the field on the moon, once every other mask has been handed over.",perm.mask.wrath
CourierCap,CourierCap,Courier's Cap,"The postman's route, worn on the head. Letterboxes give up what they hold.",4,bellwether.town,"Finished the postman's round for him on the final day, when he could not bring himself to run it.",perm.mask.courierCap
SleeplessMask,SleeplessMask,Sleepless Mask,Eyes that never close. The drowsy will talk all night and tell you everything.,4,bellwether.town,Bought back from the pawnbroker after the thief who took it was caught in the act at midnight.,perm.mask.sleeplessMask
BlastMask,BlastMask,Blast Mask,Detonates on command at the cost of your own skin. Bombs for the penniless.,1,bellwether.town,Given by the old woman with the bomb bag after seeing off the thief who tried to take it.,perm.mask.blastMask
UnseenMask,UnseenMask,Unseen Mask,"Sight slides off it. Guards, gatekeepers and shopkeepers look straight through you.",4,mirefen.swamp,"Left by a merchant hiding from a soldier at the swamp gate; wearing it, nobody sees you at all.",perm.mask.unseenMask
GraceMask,GraceMask,Mask of Grace,Draws scattered spirits back toward their fountain.,2,bellwether.town,Returned by the fountain spirit once her scattered pieces were carried back to her.,perm.mask.graceMask
FoxwardenMask,FoxwardenMask,Foxwarden Mask,Wear it in tall grass and something old and clever asks you riddles.,2,bellwether.outskirts,Recovered from a hole in the ground after the town's tallest tale turned out to be true.,perm.mask.foxwardenMask
MarchMask,MarchMask,March Mask,Anything small enough will fall in behind you and keep step.,4,bellwether.town,Given by the bandleader who cannot get anyone to march behind him any more.,perm.mask.marchMask
HareHood,HareHood,Hare Hood,"Long ears, longer stride. The ground goes by faster and secrets sound louder.",2,bellwether.outskirts,Traded from the man in the field who wanted a picture of a thing nobody believes in.,perm.mask.hareHood
ChorusMask,ChorusMask,Chorus Mask,The mountain frogs answer it. Find all five and they will sing for you.,5,frostcrown.pass,"Left frozen in the ice on the mountain road, thawed out with the spring.",perm.mask.chorusMask
KeenNoseMask,KeenNoseMask,Keen Nose Mask,"Scent becomes colour. Mushrooms, trails and buried things stand out.",2,mirefen.swamp,Given by the witch after her mushrooms were fetched from the deepest part of the woods.,perm.mask.keenNoseMask
RanchMask,RanchMask,Ranch Mask,A little sister's face. The herd trusts it and so do the people who keep them.,7,thaw.fields,Given by the younger sister at the ranch after her herd survived the night.,perm.mask.ranchMask
RingleaderMask,RingleaderMask,Ringleader's Mask,The face of a brother who left. It stops a grown man mid-sentence.,7,thaw.fields,"Given by the elder sister at the ranch, who has not seen her brother since the carnival was announced.",perm.mask.ringleaderMask
LostSonMask,LostSonMask,Lost Son's Mask,"Shown to the right people it unwinds the town's longest, saddest errand.",4,bellwether.town,Given by a woman waiting at an empty altar for a man who never arrived.,perm.mask.lostSonMask
BetrothalMask,BetrothalMask,Betrothal Mask,Two halves finally joined. Worn on the last night it moves people who cannot be moved.,12,bellwether.town,"Forged from two halves on the last night, when both halves of the couple were finally in the same room.",perm.mask.betrothalMask
TruthMask,TruthMask,Mask of Truth,Beasts speak plainly and the stones under the town remember out loud.,2,mirefen.swamp,"Won back from the spider house at the edge of the swamp, one gold spider at a time.",perm.mask.truthMask
DancersMask,DancersMask,Dancer's Mask,Left by a ghost who only wanted his steps taught to someone.,7,thaw.fields,Left by a ghost on a stone in the fields who only wanted his steps remembered by someone.,perm.mask.dancersMask
WrappedMask,WrappedMask,Wrapped Mask,The bandaged dead take you for one of their own and ask for what they are owed.,11,ashen.keep,"Taken from the bandaged thing at the bottom of the well, in exchange for what it was owed.",perm.mask.wrappedMask
SpectreMask,SpectreMask,Spectre Mask,Call the watchers of the ruined kingdom out of the air and make them answer.,10,ashen.canyon,Won from the watcher who challenges anyone climbing the canyon road.,perm.mask.spectreMask
CaptainsHelm,CaptainsHelm,Captain's Helm,The bone soldiers still take orders from whoever wears the crest.,10,thaw.fields,Taken from the bone captain in the barrow after he was played to sleep.,perm.mask.captainsHelm
TitanMask,TitanMask,Titan Mask,Found in the last temple's depths. Fills the arena and fights on the boss's own scale.,12,sunkenspire.base,"Found in a sealed room in the last temple, sized for something far larger than a person.",perm.mask.titanMask
