Name,ActorId,RegionId,Activity,Start,End,RequiredFlag,Priority
npc.postman.000,npc.postman,bellwether.town,running the morning round,"(Day=1,Hour=6,Minute=0)","(Day=1,Hour=12,Minute=0)",,0
npc.postman.001,npc.postman,bellwether.town,sorting the afternoon post,"(Day=1,Hour=12,Minute=0)","(Day=1,Hour=18,Minute=0)",,0
npc.postman.002,npc.postman,bellwether.town,"asleep, boots by the door","(Day=1,Hour=18,Minute=0)","(Day=2,Hour=6,Minute=0)",,0
npc.postman.003,npc.postman,bellwether.town,running the morning round,"(Day=2,Hour=6,Minute=0)","(Day=2,Hour=12,Minute=0)",,0
npc.postman.004,npc.postman,bellwether.town,sorting the afternoon post,"(Day=2,Hour=12,Minute=0)","(Day=2,Hour=18,Minute=0)",,0
npc.postman.005,npc.postman,bellwether.town,"asleep, boots by the door","(Day=2,Hour=18,Minute=0)","(Day=3,Hour=6,Minute=0)",,0
npc.postman.006,npc.postman,bellwether.town,"standing at the window, not leaving","(Day=3,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",,0
npc.bombshop.matron.007,npc.bombshop.matron,bellwether.town,behind the counter,"(Day=1,Hour=6,Minute=0)","(Day=1,Hour=18,Minute=0)",,0
npc.bombshop.matron.008,npc.bombshop.matron,bellwether.outskirts,walking the north road with the bag,"(Day=1,Hour=18,Minute=0)","(Day=1,Hour=23,Minute=0)",,0
npc.bombshop.matron.009,npc.bombshop.matron,bellwether.town,"behind the counter, shaken","(Day=1,Hour=23,Minute=0)","(Day=3,Hour=5,Minute=59)",,0
npc.thief.010,npc.thief,bellwether.outskirts,waiting in the dark by the north road,"(Day=1,Hour=18,Minute=0)","(Day=1,Hour=23,Minute=0)",,0
npc.thief.011,npc.thief,bellwether.town,selling what he took at the back counter,"(Day=1,Hour=0,Minute=0)","(Day=2,Hour=6,Minute=0)",,0
npc.thief.012,npc.thief,bellwether.town,keeping out of sight,"(Day=2,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",,0
npc.pawnbroker.013,npc.pawnbroker,bellwether.town,shutters down,"(Day=1,Hour=6,Minute=0)","(Day=1,Hour=0,Minute=0)",,0
npc.pawnbroker.014,npc.pawnbroker,bellwether.town,"open for business, no questions","(Day=1,Hour=0,Minute=0)","(Day=2,Hour=6,Minute=0)",,0
npc.pawnbroker.015,npc.pawnbroker,bellwether.town,shutters down,"(Day=2,Hour=6,Minute=0)","(Day=2,Hour=0,Minute=0)",,0
npc.pawnbroker.016,npc.pawnbroker,bellwether.town,"open for business, no questions","(Day=2,Hour=0,Minute=0)","(Day=3,Hour=6,Minute=0)",,0
npc.pawnbroker.017,npc.pawnbroker,bellwether.town,shutters down,"(Day=3,Hour=6,Minute=0)","(Day=3,Hour=0,Minute=0)",,0
npc.pawnbroker.018,npc.pawnbroker,bellwether.town,"open for business, no questions","(Day=3,Hour=0,Minute=0)","(Day=3,Hour=5,Minute=59)",,0
npc.bandleader.019,npc.bandleader,bellwether.town,drilling an empty square,"(Day=1,Hour=6,Minute=0)","(Day=1,Hour=10,Minute=0)",,0
npc.bandleader.020,npc.bandleader,bellwether.town,"in the inn, waiting for a band","(Day=1,Hour=10,Minute=0)","(Day=2,Hour=6,Minute=0)",,0
npc.bandleader.021,npc.bandleader,bellwether.town,drilling an empty square,"(Day=2,Hour=6,Minute=0)","(Day=2,Hour=10,Minute=0)",,0
npc.bandleader.022,npc.bandleader,bellwether.town,"in the inn, waiting for a band","(Day=2,Hour=10,Minute=0)","(Day=3,Hour=6,Minute=0)",,0
npc.bandleader.023,npc.bandleader,bellwether.town,drilling an empty square,"(Day=3,Hour=6,Minute=0)","(Day=3,Hour=10,Minute=0)",,0
npc.bandleader.024,npc.bandleader,bellwether.town,"in the inn, waiting for a band","(Day=3,Hour=10,Minute=0)","(Day=3,Hour=5,Minute=59)",,0
npc.bride.025,npc.bride,bellwether.town,waiting at the altar,"(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",,0
npc.bride.026,npc.bride,bellwether.town,at the altar with the letter in her hand,"(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.lostson,10
npc.bride.027,npc.bride,bellwether.town,"at the altar, and not alone","(Day=3,Hour=18,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.betrothal,20
npc.groom.028,npc.groom,bellwether.town,"hidden in the back room, will not open","(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",,0
npc.groom.029,npc.groom,bellwether.town,opening the door a crack,"(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.lostson,10
npc.groom.030,npc.groom,bellwether.town,on his way to the altar,"(Day=3,Hour=18,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.betrothal,20
npc.clockmaster.031,npc.clockmaster,bellwether.town,winding the tower,"(Day=1,Hour=6,Minute=0)","(Day=3,Hour=18,Minute=0)",,0
npc.clockmaster.032,npc.clockmaster,bellwether.town,opening the tower for the carnival,"(Day=3,Hour=18,Minute=0)","(Day=3,Hour=5,Minute=59)",,0
npc.fountain.spirit.033,npc.fountain.spirit,bellwether.town,"scattered, and barely holding together","(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",,0
npc.fountain.spirit.034,npc.fountain.spirit,bellwether.town,"whole again, and generous","(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.gracemask,10
npc.fieldman.035,npc.fieldman,bellwether.outskirts,"in the field, waiting for proof","(Day=1,Hour=6,Minute=0)","(Day=1,Hour=18,Minute=0)",,0
npc.fieldman.036,npc.fieldman,bellwether.outskirts,"in the field, waiting for proof","(Day=2,Hour=6,Minute=0)","(Day=2,Hour=18,Minute=0)",,0
npc.fieldman.037,npc.fieldman,bellwether.outskirts,"in the field, waiting for proof","(Day=3,Hour=6,Minute=0)","(Day=3,Hour=18,Minute=0)",,0
npc.taleteller.038,npc.taleteller,bellwether.outskirts,telling it again to anyone passing,"(Day=1,Hour=6,Minute=0)","(Day=1,Hour=18,Minute=0)",,0
npc.taleteller.039,npc.taleteller,bellwether.outskirts,telling it again to anyone passing,"(Day=2,Hour=6,Minute=0)","(Day=2,Hour=18,Minute=0)",,0
