Name,Song,DisplayName,Chapter,TaughtInRegion,Effect
HymnOfReturn,HymnOfReturn,Hymn of Return,1,bellwether.town,"Returns the cycle to the first dawn, keeping masks, songs, echoes and hearts. Played backwards it slows time to a crawl; played briskly it skips to the next dawn or dusk."
HymnOfMending,HymnOfMending,Hymn of Mending,1,bellwether.town,Draws the spirit out of a cursed soul and leaves its face behind as a mask.
MaresCall,MaresCall,Mare's Call,7,thaw.fields,Calls the mare across the fields to wherever you are standing.
SonataOfRousing,SonataOfRousing,Sonata of Rousing,3,marshwood.approach,Wakes the temple sleeping under the mire and lifts it into the air.
StoneheartLullaby,StoneheartLullaby,Stoneheart Lullaby,5,frostcrown.pass,Quiets a raging heart. The mountainfolk sleep through anything while it plays.
TidecallAria,TidecallAria,Tidecall Aria,8,tidebreak.coast,"Summons the tide, and with it the creatures that swim in it."
ElegyOfHollows,ElegyOfHollows,Elegy of Hollows,11,ashen.keep,"Leaves a hollow statue of your current form standing where you played it, heavy enough to hold a switch."
OathOfConcord,OathOfConcord,Oath of Concord,13,bellwether.town,Calls the four guardians to the tower to hold the moon. Answered only when all four echoes are free.
WindfeatherSong,WindfeatherSong,Windfeather Song,2,mirefen.swamp,Carries you to any owl statue you have already touched.
SongOfStorms,SongOfStorms,Song of Storms,4,bellwether.outskirts,"Calls rain, and with it the springs that only run in bad weather."
